Date Confirmed,Dance Name,Date of Dance,How
2010‑07‑01,Fundraiser,2010‑08‑13,Asked; knew organizer
2010‑09‑01,Brandeis College,2010‑10‑09,Organized ourselves
2010‑08‑01,MIT,2010‑10‑12,Asked; knew organizer
2010‑07‑27,Northboro MA,2010‑10‑16,Asked us; knew organizer
2010‑10‑04,Brandeis College,2010‑11‑20,Organized ourselves
2010‑07‑30,Medway MA,2010‑12‑04,Asked; introduced via musician friend
2010‑09‑03,Brandeis College,2010‑12‑11,Organized ourselves
2010‑12‑14,Arisia Con,2011‑01‑14,Asked; knew organizer
2010‑11‑03,Swarthmore College,2011‑03‑26,Asked us; knew organizer
2010‑12‑17,NEFFA Festival,2011‑04‑16,Applied; knew organizers
2010‑08‑20,Medway,2011‑05‑07,Asked; played before
2011‑04‑13,Concord NH,2011‑06‑18,Asked; emailed cold
2011‑03‑09,MIT,2011‑08‑09,Asked; played before
2011‑03‑28,Cotuit MA,2011‑08‑13,Asked; introduced via caller friend
2011‑03‑13,Kingston NH,2011‑08‑27,Asked; emailed cold
2011‑05‑13,Mystic CT,2011‑09‑24,Asked; emailed cold
2011‑07‑07,Medway MA,2011‑10‑01,Asked back
2011‑09‑15,Concord MA,2011‑10‑10,Asked; knew organizer
2011‑07‑25,MIT,2011‑10‑11,Asked back
2011‑06‑07,Concord MA,2011‑11‑04,Asked us; knew organizer
2011‑09‑28,Swarthmore College,2011‑11‑05,Asked back
2011‑03‑28,Worcester MA,2011‑11‑12,Asked; emailed cold
2011‑12‑09,Glen Echo,2011‑12‑11,Filled in for friends who had to cancel
2011‑06‑14,BIDA,2011‑12‑18,Asked; knew organizers
2011‑08‑29,Amherst MA,2012‑02‑01,Asked us; introduced via dancer friend
2011‑12‑24,Charlestown MA,2012‑02‑04,Asked us; knew organizer
2011‑11‑09,Concord MA,2012‑02‑09,Asked; knew organizer
2012‑01‑10,Concord NH,2012‑02‑18,Asked back
2012‑02‑10,Cotuit MA,2012‑03‑10,Asked back
2012‑02‑01,DEFFA Festival,2012‑03‑31,Applied
2012‑02‑10,MIT,2012‑04‑10,Asked back
2011‑07‑07,Medway MA,2012‑04‑14,Asked back
2011‑12‑16,NEFFA Festival,2012‑04‑21,Applied; knew organizers
2012‑02‑14,New York NY,2012‑05‑12,Asked us; introduced via musician friend
2012‑03‑16,Glen Echo,2012‑07‑27,Asked; emailed cold
2012‑02‑07,Glen Echo,2012‑07‑29,Asked back
2012‑03‑03,Knoxville TN,2012‑07‑30,Asked; emailed cold
2012‑02‑14,Winston-Salem NC,2012‑07‑31,Asked; emailed cold
2012‑03‑13,Baltimore MD,2012‑08‑01,Asked; emailed cold
2012‑03‑05,Rochester NY,2012‑08‑02,Asked; emailed cold
2012‑02‑21,Ithaca NY,2012‑08‑03,Asked; emailed cold
2012‑02‑22,Syracuse NY,2012‑08‑04,Asked; emailed cold
2012‑06‑06,MIT,2012‑08‑14,Asked; played before
2012‑06‑02,East Sandwich MA,2012‑08‑18,Asked us; knew organizer
2012‑06‑10,Amherst MA,2012‑08‑29,Asked; played before
2012‑05‑10,Jamaica Plain MA,2012‑09‑08,Asked; emailed cold
2012‑09‑04,East Sandwich MA,2012‑09‑15,Asked back
2012‑08‑17,BIDA,2012‑09‑16,Asked back
2012‑07‑01,Northboro MA,2012‑10‑20,Asked back
2012‑09‑09,Wesleyan College,2012‑10‑26,Asked us; introduced via musician and dancer friend
2012‑05‑16,Mystic CT,2012‑10‑27,Asked back
2012‑06‑08,Greenfield MA,2012‑11‑11,Asked; emailed cold
2012‑09‑14,Concord MA,2012‑11‑15,Asked back
2012‑09‑04,Cotuit MA,2012‑12‑08,Asked back
2012‑11‑13,Wellesley College,2012‑12‑14,Asked us
2012‑11‑07,Belfast ME,2013‑01‑04,Asked us
2012‑08‑12,Medway MA,2013‑01‑05,Asked back
2012‑10‑24,Arisia Con,2013‑01‑18,Asked back
2012‑06‑04,Kingston NH,2013‑01‑26,Asked; played before
2012‑10‑25,MIT,2013‑01‑29,Asked back
2012‑12‑14,University of NH,2013‑02‑21,Asked us
2012‑12‑10,CD Release Dance,2013‑02‑24,Organized ourselves
2013‑02‑04,East Sandwich MA,2013‑03‑16,Asked back
2013‑01‑21,Brooklyn NY,2013‑03‑22,Asked us; knew organizer
2012‑08‑14,New York NY,2013‑03‑23,Asked back
2012‑09‑16,Enfield CT,2013‑03‑24,Asked us; knew organizer
2012‑07‑30,Medway MA,2013‑04‑06,Asked back
2012‑05‑30,Worcester MA,2013‑04‑13,Asked; played before
2012‑12‑06,NEFFA Festival,2013‑04‑20,Applied
2012‑08‑14,Deerfield NH,2013‑05‑04,Asked us; knew organizer
2012‑11‑25,Montpelier VT,2013‑05‑18,Asked; emailed cold
2013‑01‑03,Catapult Weekend,2013‑05‑25,"Applied, second try"
2012‑08‑04,Great Bear Groove Weekend,2013‑06‑01,Asked us; heard us at Syracuse
2013‑02‑12,Cotuit MA,2013‑06‑08,Asked back
2012‑11‑11,Concord NH,2013‑06‑15,Asked back
2012‑11‑17,Glen Echo,2013‑07‑14,Asked; played before
2012‑11‑19,Asheville NC,2013‑07‑15,Asked; emailed cold
2012‑11‑19,Clemmons NC,2013‑07‑16,Asked; emailed cold
2013‑01‑13,Charlotte NC,2013‑07‑17,Asked; phoned cold
2013‑03‑23,Charlottesville NC,2013‑07‑19,Asked; emailed cold
2012‑11‑24,New Haven CT,2013‑07‑20,Asked; emailed cold
2013‑02‑05,Cornell University,2013‑09‑07,Asked us
2013‑07‑17,Hampshire College,2013‑09‑11,Asked us
2013‑04‑22,Concord MA,2013‑09‑19,Asked back
2013‑04‑15,Rutland MA,2013‑09‑20,Asked us
2013‑09‑04,MIT,2013‑10‑08,Asked back
2013‑06‑14,Bates College,2013‑10‑11,Asked us; heard us at the Great Bear Groove
2013‑05‑13,Worcester MA,2013‑10‑12,Asked back
2013‑06‑03,Concord MA,2013‑11‑01,Asked back
2013‑05‑02,Peterborough NH,2013‑11‑02,Asked us; knew organizer
2013‑05‑28,Northboro MA,2013‑11‑16,Asked back
2013‑01‑27,Kingston NH,2013‑11‑23,Asked back
2013‑12‑13,Concord MA,2014‑01‑06,Asked back
2013‑07‑16,Hartford CT,2014‑01‑11,Asked us
2013‑07‑16,Amherst MA,2014‑01‑15,Asked back
2013‑06‑14,Albany NY,2014‑01‑31,Asked us
2013‑11‑26,Chatham NY,2014‑02‑01,Asked; emailed cold
2013‑06‑07,Jamaica Plain MA,2014‑02‑08,Asked back
2013‑12‑10,Dance Flurry Festival,2014‑02‑15,Applied
2013‑08‑13,Burlington VT,2014‑02‑28,Asked; knew organizers
2013‑08‑07,Ottowa ON,2014‑03‑01,Asked us; heard us at Great Bear Groove
2013‑08‑07,Montreal QC,2014‑03‑02,Asked us; heard us at Great Bear Groove
2013‑05‑28,Montpelier VT,2014‑03‑29,Asked back
2013‑11‑09,NEFFA Festival,2014‑04‑26,Applied
2013‑11‑04,Spring Fling Weekend,2014‑05‑03,Asked us; recommended by a caller friend
